file_path,method_name,line_number,score,coverage,complexity,git_commits
app/models/user.rb,can_access_feature?,21,10.15,50.0,7,0
packs/users/app/models/users/user_profile.rb,display_name,5,7.7,0.0,5,0
app/models/user.rb,calculate_discount,35,7.15,50.0,4,0
app/services/payment_service.rb,calculate_fee,8,6.8,60.0,5,0
app/services/payment_service.rb,process_payment,28,6.8,60.0,5,0
app/controllers/users_controller.rb,index,6,4.3,0.0,1,0
app/controllers/users_controller.rb,show,16,4.3,0.0,1,0
app/controllers/users_controller.rb,create,23,4.3,0.0,1,0
app/controllers/users_controller.rb,update,34,4.3,0.0,1,0
app/controllers/users_controller.rb,set_user,45,4.3,0.0,1,0
